## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[bam/sample2.sorted.bam] OUTPUT=results/sample2.sorted.dedup.bam METRICS_FILE=metrics/sample2_dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jun 05 12:44:18 WEST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1	98	9	3	0	2	1	0.020305	4672

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.010201	94	0	95
2.0	1.999433	2	1	1
3.0	2.968131	0	0	0
4.0	3.916721	0	0	0
5.0	4.845621	0	0	0
6.0	5.755239	0	0	0
7.0	6.645976	0	0	0
8.0	7.518223	0	0	0
9.0	8.372364	0	0	0
10.0	9.208775	0	0	0
11.0	10.027825	0	0	0
12.0	10.829873	0	0	0
13.0	11.615273	0	0	0
14.0	12.384369	0	0	0
15.0	13.137501	0	0	0
16.0	13.875	0	0	0
17.0	14.59719	0	0	0
18.0	15.304389	0	0	0
19.0	15.996909	0	0	0
20.0	16.675053	0	0	0
21.0	17.339121	0	0	0
22.0	17.989405	0	0	0
23.0	18.62619	0	0	0
24.0	19.249757	0	0	0
25.0	19.86038	0	0	0
26.0	20.458328	0	0	0
27.0	21.043865	0	0	0
28.0	21.617247	0	0	0
29.0	22.178727	0	0	0
30.0	22.728552	0	0	0
31.0	23.266964	0	0	0
32.0	23.794199	0	0	0
33.0	24.310491	0	0	0
34.0	24.816066	0	0	0
35.0	25.311146	0	0	0
36.0	25.79595	0	0	0
37.0	26.27069	0	0	0
38.0	26.735576	0	0	0
39.0	27.190812	0	0	0
40.0	27.636598	0	0	0
41.0	28.073131	0	0	0
42.0	28.500603	0	0	0
43.0	28.919201	0	0	0
44.0	29.32911	0	0	0
45.0	29.730511	0	0	0
46.0	30.123579	0	0	0
47.0	30.508489	0	0	0
48.0	30.885408	0	0	0
49.0	31.254504	0	0	0
50.0	31.615938	0	0	0
51.0	31.969869	0	0	0
52.0	32.316454	0	0	0
53.0	32.655844	0	0	0
54.0	32.98819	0	0	0
55.0	33.313637	0	0	0
56.0	33.632328	0	0	0
57.0	33.944405	0	0	0
58.0	34.250003	0	0	0
59.0	34.549258	0	0	0
60.0	34.842301	0	0	0
61.0	35.129261	0	0	0
62.0	35.410264	0	0	0
63.0	35.685435	0	0	0
64.0	35.954894	0	0	0
65.0	36.218759	0	0	0
66.0	36.477147	0	0	0
67.0	36.730172	0	0	0
68.0	36.977944	0	0	0
69.0	37.220574	0	0	0
70.0	37.458167	0	0	0
71.0	37.690828	0	0	0
72.0	37.918659	0	0	0
73.0	38.141762	0	0	0
74.0	38.360233	0	0	0
75.0	38.57417	0	0	0
76.0	38.783665	0	0	0
77.0	38.988812	0	0	0
78.0	39.189701	0	0	0
79.0	39.38642	0	0	0
80.0	39.579055	0	0	0
81.0	39.767692	0	0	0
82.0	39.952413	0	0	0
83.0	40.133299	0	0	0
84.0	40.310431	0	0	0
85.0	40.483886	0	0	0
86.0	40.653741	0	0	0
87.0	40.82007	0	0	0
88.0	40.982946	0	0	0
89.0	41.142441	0	0	0
90.0	41.298626	0	0	0
91.0	41.451568	0	0	0
92.0	41.601336	0	0	0
93.0	41.747995	0	0	0
94.0	41.89161	0	0	0
95.0	42.032243	0	0	0
96.0	42.169958	0	0	0
97.0	42.304814	0	0	0
98.0	42.43687	0	0	0
99.0	42.566186	0	0	0
100.0	42.692817	0	0	0

